Flow,SiteName,Long,Lat
Low,Pharmacie,-149.815,-17.483
High,MRB,-149.821,-17.477
Low,Manava,-149.802,-17.48
High,Iriho,-149.797,-17.475
Low,AnemoneHeaven,-149.787,-17.4775
High,AvaIti,-149.78,-17.472
